underlying,market,bars,active_bars,expected,coverage,first,last,settlements,observed_funding_sum,normalized_settlements,normalization,funding_status,exclusion,price_kind
SNDK,gateio|spot|SNDKG_USDT,8640,7527,8640,0.8711805555555555,1787630400000,1790222100000,0,,0,share_ratio_unverified,不适用,,5m_trade_close_proxy
SNDK,okx|spot|XSNDK-USDT,8640,8117,8640,0.9394675925925926,1787630400000,1790222100000,0,,0,scaled_share_verified,不适用,,5m_trade_close_proxy
SNDK,binance|spot|SNDKBUSDT,8640,8626,8640,0.9983796296296297,1787630400000,1790222100000,0,,0,share_ratio_unverified,不适用,,5m_trade_close_proxy
SNDK,bitget|spot|RSNDKUSDT,0,0,8640,0.0,,,0,,0,share_ratio_unverified,不适用,Bitget rToken K线可能为参考市场；不纳入交易价历史,5m_trade_close_proxy
SNDK,okx|futures|SNDK-USDT-SWAP,8640,8640,8640,1.0,1787630400000,1790222100000,90,0.00213259806352,90,registry_per_share,已取得实际结算,,5m_trade_close_proxy
SNDK,gateio|futures|SNDK_USDT,8640,8640,8640,1.0,1787630400000,1790222100000,90,0.001109,90,registry_per_share,已取得实际结算,,5m_trade_close_proxy
SNDK,bitget|futures|SNDKUSDT,8640,8640,8640,1.0,1787630400000,1790222100000,90,0.00364,90,registry_per_share,已取得实际结算,,5m_trade_close_proxy
SNDK,hyperliquid|futures|xyz:SNDK,7908,7902,8640,0.9145833333333333,1787850000000,1790222100000,720,0.0029574711,720,registry_per_share,已取得实际结算,,5m_trade_close_proxy
SNDK,lighter|futures|SNDK,8640,8626,8640,0.9983796296296297,1787630400000,1790222100000,717,0.004387,714,registry_per_share,已取得实际结算,,5m_trade_close_proxy
SNDK,aster|futures|SNDKUSD1,8640,7118,8640,0.8238425925925926,1787630400000,1790222100000,96,0.00084475,96,registry_per_share,已取得实际结算,,5m_trade_close_proxy
SNDK,aster|futures|SNDKUSDT,8640,6921,8640,0.8010416666666667,1787630400000,1790222100000,90,0.00237256,90,registry_per_share,已取得实际结算,,5m_trade_close_proxy
SNDK,binance|futures|SNDKUSDT,8640,8640,8640,1.0,1787630400000,1790222100000,90,0.00340416,90,registry_per_share,已取得实际结算,,5m_trade_close_proxy
SNDK,bybit|futures|SNDKUSDT,8640,8640,8640,1.0,1787630400000,1790222100000,90,0.00171126,90,registry_per_share,已取得实际结算,,5m_trade_close_proxy
SPCX,gateio|spot|SPCXON_USDT,8640,4205,8640,0.4866898148148148,1787630400000,1790222100000,0,,0,share_ratio_unverified,不适用,,5m_trade_close_proxy
SPCX,gateio|spot|SPCXX_USDT,8640,7288,8640,0.8435185185185186,1787630400000,1790222100000,0,,0,share_ratio_unverified,不适用,,5m_trade_close_proxy
SPCX,gateio|spot|SPCXG_USDT,8640,7328,8640,0.8481481481481481,1787630400000,1790222100000,0,,0,share_ratio_unverified,不适用,,5m_trade_close_proxy
SPCX,okx|spot|XSPCX-USDT,8640,7132,8640,0.825462962962963,1787630400000,1790222100000,0,,0,scaled_share_verified,不适用,,5m_trade_close_proxy
SPCX,binance|spot|SPCXBUSDT,8640,8639,8640,0.9998842592592593,1787630400000,1790222100000,0,,0,share_ratio_unverified,不适用,,5m_trade_close_proxy
SPCX,bybit|spot|SPCXXUSDT,8640,6685,8640,0.7737268518518519,1787630400000,1790222100000,0,,0,share_ratio_unverified,不适用,,5m_trade_close_proxy
SPCX,bitget|spot|RSPCXUSDT,0,0,8640,0.0,,,0,,0,share_ratio_unverified,不适用,Bitget rToken K线可能为参考市场；不纳入交易价历史,5m_trade_close_proxy
SPCX,okx|futures|SPCX-USDT-SWAP,8640,8638,8640,0.9997685185185186,1787630400000,1790222100000,90,0.00017334759953469995,90,registry_per_share,已取得实际结算,,5m_trade_close_proxy
SPCX,gateio|futures|SPCX_USDT,8640,8638,8640,0.9997685185185186,1787630400000,1790222100000,90,-0.000639,90,registry_per_share,已取得实际结算,,5m_trade_close_proxy
SPCX,bitget|futures|SPCXUSDT,8640,8600,8640,0.9953703703703703,1787630400000,1790222100000,90,0.0009469999999999999,90,registry_per_share,已取得实际结算,,5m_trade_close_proxy
SPCX,hyperliquid|futures|xyz:SPCX,7927,7925,8640,0.9172453703703703,1787844300000,1790222100000,720,-0.0010751547999999999,720,registry_per_share,已取得实际结算,,5m_trade_close_proxy
SPCX,lighter|futures|SPCX,8640,8525,8640,0.9866898148148148,1787630400000,1790222100000,717,0.00315,714,registry_per_share,已取得实际结算,,5m_trade_close_proxy
SPCX,aster|futures|SPCXUSD1,8640,7348,8640,0.850462962962963,1787630400000,1790222100000,96,-0.0004832399999999999,96,registry_per_share,已取得实际结算,,5m_trade_close_proxy
SPCX,aster|futures|SPCXUSDT,8640,4180,8640,0.4837962962962963,1787630400000,1790222100000,90,-0.00028967,90,registry_per_share,已取得实际结算,,5m_trade_close_proxy
SPCX,binance|futures|SPCXUSD1,8640,6816,8640,0.7888888888888889,1787630400000,1790222100000,90,-0.0003848699999999999,90,registry_per_share,已取得实际结算,,5m_trade_close_proxy
SPCX,binance|futures|SPCXUSDT,8640,8640,8640,1.0,1787630400000,1790222100000,90,-0.0010378499999999999,90,registry_per_share,已取得实际结算,,5m_trade_close_proxy
SPCX,bybit|futures|SPCXUSDT,8640,8608,8640,0.9962962962962963,1787630400000,1790222100000,90,-0.00083158,90,registry_per_share,已取得实际结算,,5m_trade_close_proxy
MU,gateio|spot|MUG_USDT,8640,7321,8640,0.8473379629629629,1787630400000,1790222100000,0,,0,share_ratio_unverified,不适用,,5m_trade_close_proxy
MU,okx|spot|XMU-USDT,8640,7767,8640,0.8989583333333333,1787630400000,1790222100000,0,,0,scaled_share_verified,不适用,,5m_trade_close_proxy
MU,binance|spot|MUBUSDT,8640,8522,8640,0.9863425925925926,1787630400000,1790222100000,0,,0,share_ratio_unverified,不适用,,5m_trade_close_proxy
MU,bitget|spot|RMUUSDT,0,0,8640,0.0,,,0,,0,share_ratio_unverified,不适用,Bitget rToken K线可能为参考市场；不纳入交易价历史,5m_trade_close_proxy
MU,okx|futures|MU-USDT-SWAP,8640,8639,8640,0.9998842592592593,1787630400000,1790222100000,90,0.0039029551613342,90,registry_per_share,已取得实际结算,,5m_trade_close_proxy
MU,gateio|futures|MU_USDT,8640,8637,8640,0.9996527777777777,1787630400000,1790222100000,90,0.000348,90,registry_per_share,已取得实际结算,,5m_trade_close_proxy
MU,bitget|futures|MUUSDT,8640,8588,8640,0.9939814814814815,1787630400000,1790222100000,90,0.004965,90,registry_per_share,已取得实际结算,,5m_trade_close_proxy
MU,hyperliquid|futures|xyz:MU,7909,7896,8640,0.9138888888888889,1787849700000,1790222100000,720,0.0053999739000000005,720,registry_per_share,已取得实际结算,,5m_trade_close_proxy
MU,lighter|futures|MU,8640,8079,8640,0.9350694444444444,1787630400000,1790222100000,717,0.004887,714,registry_per_share,已取得实际结算,,5m_trade_close_proxy
