underlying,pair,kind,quality,window_days,session,n,days,blocks,expected,coverage,mean,median,abs_median,abs_p90,abs_p95,std,min,max,positive_share,day_abs_median_p25,day_abs_median_p75,eligible,evidence,above_10,above_30,above_50,above_100
SNDK,binance|futures|SNDKUSDT::bitget|futures|SNDKUSDT,perp_perp,comparable,7,all,2016,7,2,2016,1.0,-0.23843335353424341,-0.168750287999897,0.9175446757941907,2.4133331678694026,2.911927309993678,1.4614431399905776,-5.787135538118937,7.278020378458372,0.435515873015873,0.7715193240939722,1.1774781219822672,True,K线收盘代理；达到描述性样本门槛,0.0,0.0,0.0,0.0
SNDK,binance|futures|SNDKUSDT::bitget|futures|SNDKUSDT,perp_perp,comparable,7,regular,390,5,2,390,1.0,-0.2668546449690398,-0.33274478728528845,0.9740747509473513,2.237740828050061,2.607231237837959,1.3656617465501961,-4.440608425898551,3.235284758096313,0.41025641025641024,0.7841270143515988,1.1929826895507034,True,K线收盘代理；达到描述性样本门槛,0.0,0.0,0.0,0.0
SNDK,binance|futures|SNDKUSDT::bitget|futures|SNDKUSDT,perp_perp,comparable,7,non_regular,1626,7,2,1626,1.0,-0.2316164386144583,-0.12882451258910965,0.9071710200841965,2.446052797291376,3.0322821983669312,1.4834163401926255,-5.787135538118937,7.278020378458372,0.44157441574415746,0.7605558002241053,1.2199175420543606,True,K线收盘代理；达到描述性样本门槛,0.0,0.0,0.0,0.0
SNDK,binance|futures|SNDKUSDT::bitget|futures|SNDKUSDT,perp_perp,comparable,7,pre_market,330,5,2,330,1.0,-0.22940798235084006,-0.29455131896227726,0.9520110385541347,2.183778034079986,2.450141039120557,1.3479777944253317,-4.720397289328382,3.268710550043963,0.39090909090909093,0.8540027653564097,1.033735402973246,True,K线收盘代理；达到描述性样本门槛,0.0,0.0,0.0,0.0
SNDK,binance|futures|SNDKUSDT::bitget|futures|SNDKUSDT,perp_perp,comparable,7,after_market,240,5,2,240,1.0,-0.19177528416315184,-0.19914132314224897,0.8602065576368556,2.0960444838450387,2.47890029233061,1.3116592350668288,-3.9718971994862073,6.997597285181012,0.42083333333333334,0.8059001011095912,0.9515551268768352,True,K线收盘代理；达到描述性样本门槛,0.0,0.0,0.0,0.0
SNDK,binance|futures|SNDKUSDT::bitget|futures|SNDKUSDT,perp_perp,comparable,7,overnight,480,5,2,480,1.0,-0.8801171683713721,-0.9588894534079406,1.3962128429301224,3.179173782789979,3.808740355031869,1.7735824267681286,-5.787135538118937,7.278020378458372,0.2916666666666667,0.9356812566230222,2.1737442946573315,True,K线收盘代理；达到描述性样本门槛,0.0,0.0,0.0,0.0
SNDK,binance|futures|SNDKUSDT::bitget|futures|SNDKUSDT,perp_perp,comparable,7,weekend,576,2,1,576,1.0,0.2909350937605609,0.30979570136424606,0.6737466334882924,1.7956673289654113,2.22362180523461,1.0993238093609885,-4.214288122450505,5.463588282010878,0.6041666666666666,0.6811710190723907,0.6980556469371457,False,样本不足 / 仅事件观察,0.0,0.0,0.0,0.0
SNDK,binance|futures|SNDKUSDT::bitget|futures|SNDKUSDT,perp_perp,comparable,7,holiday,0,0,0,0,0,,,,,,,,,,,,False,样本不足 / 仅事件观察,,,,
SNDK,binance|futures|SNDKUSDT::bitget|futures|SNDKUSDT,perp_perp,comparable,30,all,8640,30,5,8640,1.0,-0.15396530669390934,-0.12727748684382423,0.9827081745228394,2.678367088955192,3.371772319642363,1.670625087543406,-10.665184313775056,10.947656517277249,0.45601851851851855,0.7905173428802981,1.287972389237002,True,K线收盘代理；达到描述性样本门槛,0.0002314814814814815,0.0,0.0,0.0
SNDK,binance|futures|SNDKUSDT::bitget|futures|SNDKUSDT,perp_perp,comparable,30,regular,1638,21,5,1638,1.0,0.008235897768378197,0.0,1.0121598600432158,2.4708492122236243,2.897796245414196,1.5505905956198003,-10.665184313775056,5.871202590039815,0.49755799755799757,0.8090872478316857,1.1929826895507034,True,K线收盘代理；达到描述性样本门槛,0.0006105006105006105,0.0,0.0,0.0
SNDK,binance|futures|SNDKUSDT::bitget|futures|SNDKUSDT,perp_perp,comparable,30,non_regular,7002,30,5,7002,1.0,-0.1919095473264753,-0.16804275218440523,0.9749166843669999,2.7430614746860598,3.477882891889827,1.6952420794598353,-8.849805360292562,10.947656517277249,0.4463010568409026,0.7963702243841964,1.2645422250277816,True,K线收盘代理；达到描述性样本门槛,0.00014281633818908883,0.0,0.0,0.0
SNDK,binance|futures|SNDKUSDT::bitget|futures|SNDKUSDT,perp_perp,comparable,30,pre_market,1386,21,5,1386,1.0,-0.4062463789342384,-0.3954400231076516,1.026782825290784,2.7093612441303483,3.3422866902768633,1.5846701048249534,-5.835894642649553,5.21956591565953,0.3917748917748918,0.800820352770959,1.1082489772640258,True,K线收盘代理；达到描述性样本门槛,0.0,0.0,0.0,0.0
SNDK,binance|futures|SNDKUSDT::bitget|futures|SNDKUSDT,perp_perp,comparable,30,after_market,1008,21,5,1008,1.0,0.0724123298960092,0.06441040339755233,0.9025571184623216,2.298905004508134,2.8727208087899183,1.3941074210741133,-5.2008761946709114,6.997597285181012,0.5138888888888888,0.7719407418160795,0.9027224470631312,True,K线收盘代理；达到描述性样本门槛,0.0,0.0,0.0,0.0
SNDK,binance|futures|SNDKUSDT::bitget|futures|SNDKUSDT,perp_perp,comparable,30,overnight,2016,21,5,2016,1.0,-0.42948320344484014,-0.3859869180777853,1.1270207275415611,3.2201637397755167,4.066683130964089,1.8760541111034963,-6.925253000399367,7.4933211702599145,0.40674603174603174,0.9086635992894276,1.342737313248521,True,K线收盘代理；达到描述性样本门槛,0.0,0.0,0.0,0.0
SNDK,binance|futures|SNDKUSDT::bitget|futures|SNDKUSDT,perp_perp,comparable,30,weekend,2304,8,4,2304,1.0,-0.08903024860205443,-0.11243282437789492,0.8522709980379739,2.587805960298508,3.2211361797723765,1.6434556385253605,-8.849805360292562,10.947656517277249,0.4505208333333333,0.6709624621893673,1.0113109154580302,True,K线收盘代理；达到描述性样本门槛,0.00043402777777777775,0.0,0.0,0.0
SNDK,binance|futures|SNDKUSDT::bitget|futures|SNDKUSDT,perp_perp,comparable,30,holiday,288,1,1,288,1.0,0.7544410875403754,0.7275352897262444,1.0083983959463527,2.7630307080811494,3.6110004419778163,1.7021645230605331,-4.1433138672231085,9.418571404544718,0.7152777777777778,1.0083983959463527,1.0083983959463527,False,样本不足 / 仅事件观察,0.0,0.0,0.0,0.0
SNDK,binance|futures|SNDKUSDT::bybit|futures|SNDKUSDT,perp_perp,comparable,7,all,2016,7,2,2016,1.0,-1.1462634398935823,-1.0615794980056714,1.2906311994725916,3.1836730299861227,3.7706955550750876,1.5528825027920992,-7.32940939507154,4.407301615638737,0.22371031746031747,0.9391673278438817,1.5011832421796267,True,K线收盘代理；达到描述性样本门槛,0.0,0.0,0.0,0.0
SNDK,binance|futures|SNDKUSDT::bybit|futures|SNDKUSDT,perp_perp,comparable,7,regular,390,5,2,390,1.0,-0.5954123949591853,-0.6295112618986964,1.034087548442697,2.4492837066790734,2.875331224202526,1.389547747459607,-4.772485032955576,3.322886871990338,0.32051282051282054,0.9825073718561228,1.064066822661358,True,K线收盘代理；达到描述性样本门槛,0.0,0.0,0.0,0.0
SNDK,binance|futures|SNDKUSDT::bybit|futures|SNDKUSDT,perp_perp,comparable,7,non_regular,1626,7,2,1626,1.0,-1.278386384250541,-1.1862966418879628,1.3999916651258326,3.309505152103709,3.8462847844211723,1.5609230812759176,-7.32940939507154,4.407301615638737,0.2004920049200492,0.9531584553618133,1.7153876788550404,True,K线收盘代理；达到描述性样本门槛,0.0,0.0,0.0,0.0
SNDK,binance|futures|SNDKUSDT::bybit|futures|SNDKUSDT,perp_perp,comparable,7,pre_market,330,5,2,330,1.0,-0.7791720821776028,-0.5675318629250192,1.0448086413294977,2.9641809783927946,3.5288059898453406,1.5713386451672922,-5.921067614037545,3.80549410148312,0.3333333333333333,0.679608117958308,1.16028550934677,True,K线收盘代理；达到描述性样本门槛,0.0,0.0,0.0,0.0
SNDK,binance|futures|SNDKUSDT::bybit|futures|SNDKUSDT,perp_perp,comparable,7,after_market,240,5,2,240,1.0,-0.7189112874735984,-0.7226192219272898,0.9570799069258396,2.482769874661672,2.9641315878465297,1.358908792126225,-4.064654398802103,3.2925209549428125,0.29583333333333334,0.7546776175082481,1.6076798269981651,True,K线收盘代理；达到描述性样本门槛,0.0,0.0,0.0,0.0
SNDK,binance|futures|SNDKUSDT::bybit|futures|SNDKUSDT,perp_perp,comparable,7,overnight,480,5,2,480,1.0,-1.3720051624283511,-1.4072193405012534,1.5304410613581343,3.358929151978219,3.91849123601351,1.558004219857956,-7.32940939507154,4.407301615638737,0.16041666666666668,0.930784702097287,1.8174018999073116,True,K线收盘代理；达到描述性样本门槛,0.0,0.0,0.0,0.0
SNDK,binance|futures|SNDKUSDT::bybit|futures|SNDKUSDT,perp_perp,comparable,7,weekend,576,2,1,576,1.0,-1.7194935533220457,-1.6434179696889206,1.663005633624759,3.625353702584322,4.094487347954812,1.4819128635647918,-5.848545174387265,2.9189377311999998,0.11805555555555555,1.4141368507952778,2.1103873727496003,False,样本不足 / 仅事件观察,0.0,0.0,0.0,0.0
SNDK,binance|futures|SNDKUSDT::bybit|futures|SNDKUSDT,perp_perp,comparable,7,holiday,0,0,0,0,0,,,,,,,,,,,,False,样本不足 / 仅事件观察,,,,
